freq(fk_+66),vel(fk_+66),wav(fk_+66),freq(fk_+56),vel(fk_+56),wav(fk_+56),freq(fk_+51),vel(fk_+51),wav(fk_+51),freq(fk_+48),vel(fk_+48),wav(fk_+48),freq(fk_-2),vel(fk_-2),wav(fk_-2),freq(fk_-5),vel(fk_-5),wav(fk_-5),freq(fk_-10),vel(fk_-10),wav(fk_-10),freq(fk_-20),vel(fk_-20),wav(fk_-20),freq(fk_-30),vel(fk_-30),wav(fk_-30)
0.0625,nan,nan,0.0625,5.747126436781608,91.95402298850573,0.0625,1.8656716417910446,29.850746268656714,0.0625,166.66666666666666,2666.6666666666665,0.0625,nan,nan,0.0625,3.7037037037037033,59.25925925925925,0.0625,5.376344086021506,86.0215053763441,0.0625,2.262443438914027,36.199095022624434,0.0625,3.2051282051282053,51.282051282051285
0.125,nan,nan,0.125,10.989010989010989,87.91208791208791,0.125,3.558718861209964,28.469750889679712,0.125,166.66666666666666,1333.3333333333333,0.125,nan,nan,0.125,7.633587786259542,61.06870229007634,0.125,9.900990099009901,79.20792079207921,0.125,43.47826086956522,347.82608695652175,0.125,5.714285714285714,45.714285714285715
0.1875,nan,nan,0.1875,15.789473684210527,84.21052631578948,0.1875,5.050505050505051,26.936026936026938,0.1875,166.66666666666666,888.8888888888888,0.1875,nan,nan,0.1875,12.0,64.0,0.1875,13.88888888888889,74.07407407407408,0.1875,45.45454545454545,242.4242424242424,0.1875,7.7720207253886,41.45077720207254
0.25,nan,nan,0.25,nan,nan,0.25,11.627906976744185,46.51162790697674,0.25,166.66666666666666,666.6666666666666,0.25,nan,nan,0.25,16.94915254237288,67.79661016949152,0.25,17.699115044247787,70.79646017699115,0.25,47.61904761904761,190.47619047619045,0.25,9.523809523809526,38.0952380952381
0.3125,nan,nan,0.3125,nan,nan,0.3125,14.36781609195402,45.977011494252864,0.3125,178.57142857142858,571.4285714285714,0.3125,nan,nan,0.3125,23.58490566037736,75.47169811320755,0.3125,21.1864406779661,67.79661016949152,0.3125,50.0,160.0,0.3125,11.11111111111111,35.55555555555556
0.375,nan,nan,0.375,nan,nan,0.375,16.75977653631285,44.6927374301676,0.375,176.47058823529412,470.5882352941176,0.375,nan,nan,0.375,35.29411764705882,94.11764705882352,0.375,24.590163934426233,65.57377049180329,0.375,52.63157894736842,140.35087719298244,0.375,12.552301255230125,33.47280334728033
0.4375,nan,8000.0,0.4375,nan,nan,0.4375,19.12568306010929,43.71584699453552,0.4375,174.99999999999997,399.99999999999994,0.4375,21.60493827160494,49.38271604938272,0.4375,15.625,35.714285714285715,0.4375,27.777777777777775,63.49206349206349,0.4375,56.45161290322581,129.03225806451613,0.4375,nan,nan
0.5,1333.3333333333333,2666.6666666666665,0.5,nan,nan,0.5,21.390374331550802,42.780748663101605,0.5,181.81818181818184,363.6363636363637,0.5,25.641025641025642,51.282051282051285,0.5,19.51219512195122,39.02439024390244,0.5,31.249999999999996,62.49999999999999,0.5,60.6060606060606,121.2121212121212,0.5,nan,nan
0.5625,750.0,1333.3333333333333,0.5625,nan,nan,0.5625,23.56020942408377,41.8848167539267,0.5625,180.0,320.0,0.5625,29.605263157894736,52.63157894736842,0.5625,24.064171122994654,42.780748663101605,0.5625,34.883720930232556,62.01550387596899,0.5625,64.28571428571428,114.28571428571428,0.5625,249.99999999999997,444.4444444444444
0.625,555.5555555555554,888.8888888888887,0.625,nan,nan,0.625,25.641025641025642,41.02564102564103,0.625,185.1851851851852,296.2962962962963,0.625,33.557046979865774,53.691275167785236,0.625,28.571428571428573,45.714285714285715,0.625,39.37007874015748,62.99212598425197,0.625,69.44444444444443,111.11111111111109,0.625,135.13513513513513,216.2162162162162
