Frequency(Hz),PhaseVelocity(m/s),Wavelength(m)
0.0,0.0,0.0
0.0625,0.12503126463735148,2.0005002341976237
0.125,0.25006252927470296,2.0005002341976237
0.1875,0.37509379391205444,2.0005002341976237
0.25,0.5001250585494059,2.0005002341976237
0.3125,0.6251563231867574,2.0005002341976237
0.375,0.75,2.0
0.4375,3104.096740825765,7095.078264744606
0.5,1278.7811169188485,2557.562233837697
0.5625,734.258322002596,1305.348128004615
0.625,547.6878392164085,876.3005427462537
0.6875,389.2323034748623,566.1560777816179
0.75,283.93083972734,378.5744529697867
0.8125,231.04182555441076,284.3591699131209
0.875,188.4993923402122,215.42787696024251
0.9375,166.1602691899926,177.23762046932544
1.0,150.5488735195067,150.5488735195067
1.0625,2.211833406152914,2.0817255587321544
1.125,2.3401140517102372,2.0801013792979886
1.1875,2.468836250326024,2.0790200002745465
1.25,2.5974246812706365,2.077939745016509
1.3125,2.725171923285898,2.0763214653606843
1.375,2.852720343474224,2.07470570434489
1.4375,2.9792981920806016,2.0725552640560707
1.5,3.1056139155455544,2.0704092770303695
1.5625,3.2299978377298597,2.06719861614711
1.625,3.3531312878693207,2.063465407919582
1.6875,3.475820799870659,2.059745659182613
1.75,3.9932773773684525,2.281872787067687
1.8125,4.131179984389826,2.279271715525421
1.875,4.269984000007262,2.277324800003873
1.9375,4.407297281169484,2.2747340806036047
2.0,4.232857993667103,2.1164289968335517
2.0625,4.36398004728941,2.11586911383729
2.125,4.496221866904241,2.11586911383729
2.1875,4.628463686519072,2.11586911383729
2.25,4.7607055061339025,2.11586911383729
2.3125,4.894242055177588,2.1164289968335517
2.375,5.0291804239872295,2.1175496522051493
2.4375,99.40352999826786,40.78093538390476
2.5,101.4351480937508,40.57405923750032
2.5625,103.97102679609455,40.574059237500315
2.625,107.04995538275001,40.78093538390477
2.6875,111.88055859232941,41.629975290169085
2.75,120.10880184618745,43.675927944068164
2.8125,139.61067786113958,49.639352128405186
2.875,185.25322520927642,64.43590442061789
2.9375,223.4897473803562,76.08161612948295
3.0,247.0444944097818,82.3481648032606
3.0625,263.02336366480233,85.88517997218035
3.125,274.2816548948669,87.77012956635741
3.1875,282.87142292041307,88.7439758181688
3.25,285.2529210906616,87.77012956635741
3.3125,278.5133121864174,84.07949047137129
3.375,199.76799664618002,59.19051752479408
3.4375,156.99437358789496,45.671090498296714
3.5,147.23762256312526,42.06789216089293
3.5625,144.54508603359486,40.57405923750031
3.625,144.87615358503504,39.965835471733804
3.6875,147.3740183020184,39.965835471733804
3.75,153.71224482271998,40.98993195272533
3.8125,174.12103252475623,45.671090498296714
3.875,271.56725502121583,70.08187226353957
3.9375,314.5308887817947,79.88086064299549
4.0,322.7468074260625,80.68670185651563
4.0625,324.5159963621691,79.88086064299547
4.125,323.0556514173055,78.31652155571042
4.1875,321.65140492111,76.81227580205612
4.25,317.3101835952237,74.6612196694644
4.3125,307.6188769908633,71.33191350512773
